awayid,awaypoints,homeid,homepoints,winner,weekID,AwayTeam,HomeTeam
5,94.76,8,87.38,B1G HAUS,13,B1G HAUS,Just Drew  It
6,94.68,9,105.3,The Peppy Kids,14,Team Aponte,The Peppy Kids
2,79.74,4,91.1,Dillon Panthers,14,Breaston Plants Inc,Dillon Panthers
11,139.98,12,83.16,Easy As A Bisi,14,Easy As A Bisi,Hart attack
10,104.9,3,119.06,Heartbreak Kid,14,Soup du Jour,Heartbreak Kid
5,85.16,1,87.92,NightTraen Reign,14,B1G HAUS,NightTraen Reign
8,105.48,7,64.16,Just Drew  It,14,Just Drew  It,Pre-Snap Adjustment
4,123.24,9,115.68,Dillon Panthers,15,Dillon Panthers,The Peppy Kids
2,90.66,6,120.58,Team Aponte,15,Breaston Plants Inc,Team Aponte
11,85.72,12,87.72,Hart attack,15,Easy As A Bisi,Hart attack
1,122.7,3,141.16,Heartbreak Kid,15,NightTraen Reign,Heartbreak Kid
8,110.98,10,127.84,Soup du Jour,15,Just Drew  It,Soup du Jour
5,106.28,7,89.08,B1G HAUS,15,B1G HAUS,Pre-Snap Adjustment
